track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Embarrassed (feat. Travis Scott),Embarrassed (feat. Travis Scott),Don Toliver,2/23/2023,USAT22302147,4418,19,96288883,63,8545326,2917500,278,4,527188,2021849,190951,1
Young,Vibes,Vacations,12/9/2016,SEYOK1669274,4431,19,597591280,74,105282082,1487039791,269,10,4444885,23290198,1723404,0
She Make It Clap,She Make It Clap,Soulja Boy,3/12/2021,TCAFL2178806,4452,19,87813373,51,22158547,3050656195,11520,147,11767557,3340704,571513,1
You should be sad,You should be sad,Halsey,11/8/2019,USUM71918343,4490,19,557921212,64,61717959,41811499,118637,338,105657255,5930140,2538528,1
Ex's & Oh's,Love Stuff (Japan Version),Elle King,1/1/2014,USRC11401950,4466,19,501915477,66,317068971,29687816,114659,240,351130418,9884534,11012948,0
DFMU,DFMU,Ella Mai,1/28/2022,USUM72123679,4491,19,59929910,56,87393499,36200780,99339,428,74838753,3910975,810803,1
The Heart Part 5,The Heart Part 5,Kendrick Lamar,5/8/2022,USUM72208318,4470,19,89806639,59,55825164,49727704,172,28,2152456,8141454,303787,1
A Ella,A Ella,KAROL G,5/5/2017,USUM71703010,4456,19,365062854,71,893949453,109160109,1956,32,57470493,2498936,501725,0
Smells Like Teen Spirit,Nevermind (30th Anniversary Edition Super Deluxe),Nirvana,9/24/1991,USGF19942501,4510,19,2021910364,77,348081676,720283921,146813,287,691979509,13047851,12775440,0
Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,1/1/2011,USCN11100078,4530,19,464203349,70,192327944,136935165,99018,141,514853161,1017184,2256949,0
The Way I Are,Shock Value (International Version),Timbaland,1/1/2007,USUM70722806,4495,19,858734232,78,671323389,318483532,56432,347,404463590,1896764,10984658,0
Delilah (pull me out of this),Delilah (pull me out of this),Fred again..,10/17/2022,GBAHS2201028,4555,19,172321571,61,441247,164453741,16471,27,353677,3734930,615432,0
Focus,Focus,Ariana Grande,10/30/2015,USUM71516960,4551,19,315697428,57,1033104472,61451981,6723,1,65640640,4570896,1966828,0
Daylight,Harry's House,Harry Styles,5/20/2022,USSM12200613,4558,19,377242486,68,46848683,224312083,4931,218,20446088,165194,224414,0
